Date,SOI,PDO,AO,Year,Month,Day,Hour,PC1,PC2,PC1_2_Amp
1883-04-01,1.63,-0.017,,1883,4,1,,,,
1883-05-01,1.47,0.138,,1883,5,1,,,,
1883-06-01,0.26,-0.276,,1883,6,1,,,,
1883-07-01,-1.01,-0.973,,1883,7,1,,,,
1883-08-01,0.06,-0.81,,1883,8,1,,,,
1883-09-01,-0.81,-0.296,,1883,9,1,,,,
1883-10-01,0.36,-0.568,,1883,10,1,,,,
1883-11-01,0.19,-0.376,,1883,11,1,,,,
1883-12-01,-1.77,-0.827,,1883,12,1,,,,
1884-01-01,-1.4,-0.916,,1884,1,1,,,,
1884-02-01,-0.61,-1.447,,1884,2,1,,,,
1884-03-01,0.88,-0.66,,1884,3,1,,,,
1884-04-01,-1.6,-0.115,,1884,4,1,,,,
1884-05-01,0.18,0.579,,1884,5,1,,,,
1884-06-01,0.98,0.83,,1884,6,1,,,,
1884-07-01,-0.28,0.902,,1884,7,1,,,,
1884-08-01,-0.63,1.178,,1884,8,1,,,,
1884-09-01,-0.7,0.75,,1884,9,1,,,,
1884-10-01,0.38,0.705,,1884,10,1,,,,
1884-11-01,-0.26,1.294,,1884,11,1,,,,
1884-12-01,-1.5,1.387,,1884,12,1,,,,
1885-01-01,-1.78,1.319,,1885,1,1,,,,
1885-02-01,0.04,0.919,,1885,2,1,,,,
1885-03-01,0.39,1.491,,1885,3,1,,,,
1885-04-01,0.16,1.417,,1885,4,1,,,,
1885-05-01,0.01,1.329,,1885,5,1,,,,
1885-06-01,-1.91,0.477,,1885,6,1,,,,
1885-07-01,-0.45,0.383,,1885,7,1,,,,
1885-08-01,-1.13,0.924,,1885,8,1,,,,
1885-09-01,-0.43,0.861,,1885,9,1,,,,
1885-10-01,-1.92,1.065,,1885,10,1,,,,
1885-11-01,-1.55,1.009,,1885,11,1,,,,
1885-12-01,0.47,0.715,,1885,12,1,,,,
1886-01-01,-0.22,0.518,,1886,1,1,,,,
1886-02-01,0.0,0.798,,1886,2,1,,,,
1886-03-01,0.15,0.173,,1886,3,1,,,,
1886-04-01,0.49,0.379,,1886,4,1,,,,
1886-05-01,0.54,0.024,,1886,5,1,,,,
1886-06-01,0.43,-0.517,,1886,6,1,,,,
1886-07-01,0.74,0.103,,1886,7,1,,,,
1886-08-01,1.33,0.356,,1886,8,1,,,,
1886-09-01,1.28,-0.094,,1886,9,1,,,,
1886-10-01,1.3,-0.4,,1886,10,1,,,,
1886-11-01,0.88,-0.86,,1886,11,1,,,,
1886-12-01,1.51,-0.45,,1886,12,1,,,,
1887-01-01,1.2,-0.199,,1887,1,1,,,,
1887-02-01,0.95,-0.656,,1887,2,1,,,,
1887-03-01,0.95,-0.797,,1887,3,1,,,,
1887-04-01,1.0,-0.495,,1887,4,1,,,,
1887-05-01,-0.58,-0.203,,1887,5,1,,,,
1887-06-01,0.46,0.144,,1887,6,1,,,,
1887-07-01,0.53,0.351,,1887,7,1,,,,
1887-08-01,0.33,-0.653,,1887,8,1,,,,
1887-09-01,0.45,-1.024,,1887,9,1,,,,
1887-10-01,0.51,-0.53,,1887,10,1,,,,
1887-11-01,-0.63,-0.313,,1887,11,1,,,,
1887-12-01,0.45,-0.524,,1887,12,1,,,,
1888-01-01,-0.32,-0.433,,1888,1,1,,,,
1888-02-01,-0.33,0.498,,1888,2,1,,,,
1888-03-01,-1.47,0.302,,1888,3,1,,,,
1888-04-01,-2.8,0.198,,1888,4,1,,,,
1888-05-01,-1.12,1.005,,1888,5,1,,,,
1888-06-01,-2.16,1.46,,1888,6,1,,,,
1888-07-01,-1.64,1.106,,1888,7,1,,,,
1888-08-01,-1.09,0.906,,1888,8,1,,,,
1888-09-01,-0.94,1.577,,1888,9,1,,,,
1888-10-01,-1.61,1.662,,1888,10,1,,,,
1888-11-01,-1.37,1.238,,1888,11,1,,,,
1888-12-01,-0.4,1.109,,1888,12,1,,,,
1889-01-01,-2.84,0.818,,1889,1,1,,,,
